Number of training samples for the male class: 720
Number of training samples for the female class: 1680
Number of features: 12
Data for prior 0.5 cfp: 1 cfn: 1
Lambda: 1.5998587196060572e-05 , cost: 0.14963405960583975
Lambda: 2.559547922699533e-05 , cost: 0.14963405960583975
Lambda: 4.094915062380427e-05 , cost: 0.14963405960583975
Lambda: 6.55128556859551e-05 , cost: 0.14963405960583975
Lambda: 0.00010481131341546853 , cost: 0.14963405960583975
Lambda: 0.00016768329368110083 , cost: 0.14963405960583975
Lambda: 0.0002682695795279727 , cost: 0.14963405960583975
Lambda: 0.00042919342601287783 , cost: 0.14963405960583975
Lambda: 0.0006866488450042998 , cost: 0.14963405960583975
Lambda: 0.0010985411419875584 , cost: 0.14963405960583975
Lambda: 0.001757510624854793 , cost: 0.1513853730909536
Lambda: 0.002811768697974231 , cost: 0.15661637057487438
Lambda: 0.004498432668969444 , cost: 0.15834474108856753
Lambda: 0.0071968567300115215 , cost: 0.1583217981171468
Lambda: 0.011513953993264481 , cost: 0.16441698085791417
Lambda: 0.018420699693267165 , cost: 0.1697397502275178
Lambda: 0.029470517025518096 , cost: 0.1837502581084285
Lambda: 0.04714866363457394 , cost: 0.19241505364831485
Lambda: 0.07543120063354623 , cost: 0.20124044998814614
Lambda: 0.1206792640639329 , cost: 0.20908694621402735
Lambda: 0.19306977288832497 , cost: 0.22130025466698278
Lambda: 0.30888435964774846 , cost: 0.24058764597465565
Lambda: 0.49417133613238384 , cost: 0.25016251271422996
Lambda: 0.7906043210907702 , cost: 0.2904427228718482
Lambda: 1.2648552168552958 , cost: 0.3289716195443526
Lambda: 2.0235896477251556 , cost: 0.3620859749615705
Lambda: 3.2374575428176464 , cost: 0.3953379882073127
Lambda: 5.1794746792312125 , cost: 0.4037962970044127
Lambda: 8.286427728546842 , cost: 0.40552466751810584
Lambda: 13.257113655901108 , cost: 0.403773354032992
Lambda: 21.209508879201927 , cost: 0.4063888527749524
Lambda: 33.9322177189533 , cost: 0.4099144227166008
Lambda: 54.286754393238596 , cost: 0.41514542020052153
Lambda: 86.85113737513521 , cost: 0.4177838619139027
Lambda: 138.9495494373139 , cost: 0.4195351753990165
Lambda: 222.29964825261956 , cost: 0.42128648888413034
Lambda: 355.64803062231283 , cost: 0.4230378023692442
Lambda: 568.9866029018305 , cost: 0.4230378023692442
Lambda: 910.2981779915227 , cost: 0.4230378023692442
Lambda: 1456.3484775012444 , cost: 0.4230378023692442
Lambda: 2329.951810515372 , cost: 0.4230378023692442
Lambda: 3727.593720314938 , cost: 0.4247891158543581
Lambda: 5963.623316594637 , cost: 0.4247891158543581
Lambda: 9540.954763499964 , cost: 0.4247891158543581
Lambda: 15264.179671752365 , cost: 0.4247891158543581
Lambda: 24420.53094548655 , cost: 0.4247891158543581
Lambda: 39069.39937054621 , cost: 0.4265404293394719
Lambda: 62505.51925273976 , cost: 0.4265404293394719
Lambda: 100000.0 , cost: 0.4265404293394719
Data for prior 0.1 cfp: 1 cfn: 1
Lambda: 1e-05 , cost: 0.31327862709259013
Lambda: 1.5998587196060572e-05 , cost: 0.31327862709259013
Lambda: 2.559547922699533e-05 , cost: 0.3115273136074763
Lambda: 4.094915062380427e-05 , cost: 0.3115273136074763
Lambda: 6.55128556859551e-05 , cost: 0.3115273136074763
Lambda: 0.00010481131341546853 , cost: 0.3115273136074763
Lambda: 0.00016768329368110083 , cost: 0.3115273136074763
Lambda: 0.0002682695795279727 , cost: 0.3115273136074763
Lambda: 0.00042919342601287783 , cost: 0.3115273136074763
Lambda: 0.0006866488450042998 , cost: 0.3115273136074763
Lambda: 0.0010985411419875584 , cost: 0.3080246866372487
Lambda: 0.001757510624854793 , cost: 0.304522059667021
Lambda: 0.002811768697974231 , cost: 0.304522059667021
Lambda: 0.004498432668969444 , cost: 0.2984957058405157
Lambda: 0.0071968567300115215 , cost: 0.3002470193256296
Lambda: 0.011513953993264481 , cost: 0.31425752720654027
Lambda: 0.018420699693267165 , cost: 0.31580235394886774
Lambda: 0.029470517025518096 , cost: 0.3327495621716287
Lambda: 0.04714866363457394 , cost: 0.35958519107671366
Lambda: 0.07543120063354623 , cost: 0.34655358330975305
Lambda: 0.1206792640639329 , cost: 0.3710719721013468
Lambda: 0.19306977288832497 , cost: 0.43159553070916734
Lambda: 0.30888435964774846 , cost: 0.4648704869263301
Lambda: 0.49417133613238384 , cost: 0.5417217935285525
Lambda: 0.7906043210907702 , cost: 0.6119808196758922
Lambda: 1.2648552168552958 , cost: 0.6680228511995351
Lambda: 2.0235896477251556 , cost: 0.7030491209018117
Lambda: 3.2374575428176464 , cost: 0.7205622557529502
Lambda: 5.1794746792312125 , cost: 0.7302977232924693
Lambda: 8.286427728546842 , cost: 0.7355516637478108
Lambda: 13.257113655901108 , cost: 0.7373029772329246
Lambda: 21.209508879201927 , cost: 0.7355516637478108
Lambda: 33.9322177189533 , cost: 0.7355516637478108
Lambda: 54.286754393238596 , cost: 0.7355516637478108
Lambda: 86.85113737513521 , cost: 0.7355516637478108
Lambda: 138.9495494373139 , cost: 0.7355516637478108
Lambda: 222.29964825261956 , cost: 0.7355516637478108
Lambda: 355.64803062231283 , cost: 0.7355516637478108
Lambda: 568.9866029018305 , cost: 0.7355516637478108
Lambda: 910.2981779915227 , cost: 0.7355516637478108
